#{"t_start": 1770190944.2627478, "env_id": "None"}
r,l,t
-40.85853,50,6.095298
-74.588326,50,6.095298
-181.44075,50,6.095298
21.20683,50,6.095298
-115.698845,50,6.339349
-8.274849,50,6.339349
-66.05706,50,6.339349
-53.08894,50,6.339349
-59.60073,50,6.339349
-16.990011,50,6.339349
-58.630245,50,6.339349
-11.615153,50,6.339349
6.919133,50,6.339349
102.89841,50,6.339349
-9.976665,50,6.339349
93.71747,50,6.339349
21.387476,50,6.339349
76.729294,50,6.339349
83.04348,50,6.339349
28.55939,50,6.339349
-28.542513,50,6.57486
49.878666,50,6.57586
-32.687943,50,6.57586
25.362347,50,6.57586
-126.36559,50,6.57586
56.450928,50,6.57586
92.70308,50,6.57586
69.76526,50,6.57586
-11.155025,50,6.57586
32.66629,50,6.57586
-347.55356,50,6.57586
24.916355,50,6.57586
-91.71532,50,6.57586
-2.351725,50,6.57586
177.80742,50,6.57586
-27.758656,50,6.57586
67.91352,50,6.81347
63.72682,50,6.81347
179.75,50,6.81347
44.415874,50,6.81347
-13.691067,50,6.81347
-13.573502,50,6.81347
-71.282776,50,6.81347
-2.7473307,50,6.81347
53.72652,50,6.81347
-69.2547,50,6.81347
-153.84201,50,6.81347
49.31854,50,6.81347
-0.42398167,50,6.81347
152.14207,50,6.81347
69.46559,50,6.81347
-72.297516,50,6.81347
186.92964,50,7.047788
-27.443855,50,7.047788
7.431504,50,7.047788
-316.60797,50,7.047788
25.648346,50,7.047788
-22.832047,50,7.047788
-43.52251,50,7.047788
-42.111443,50,7.047788
-341.20428,50,7.047788
-55.510536,50,7.047788
-37.87558,50,7.047788
-2.0806584,50,7.047788
-3.7550163,50,7.047788
17.850498,50,7.047788
-111.61286,50,7.047788
156.42679,50,7.047788
-12.29174,50,7.333933
168.27783,50,7.333933
-78.01093,50,7.333933
-56.818493,50,7.333933
15.155062,50,7.333933
41.316875,50,7.333933
97.21927,50,7.333933
-72.68489,50,7.333933
-79.11195,50,7.333933
98.391495,50,7.333933
-9.59979,50,7.333933
-27.915333,50,7.333933
-250.59982,50,7.333933
1.5614777,50,7.333933
188.95734,50,7.333933
-105.21626,50,7.333933
-11.481937,50,7.583334
12.984039,50,7.583334
36.517452,50,7.583334
-212.92018,50,7.583334
-24.406593,50,7.583334
202.10704,50,7.583334
156.17331,50,7.583334
-48.398914,50,7.583334
9.619429,50,7.583334
99.31888,50,7.583334
7.1544294,50,7.583334
114.821236,50,7.583334
-31.883635,50,7.583334
30.140488,50,7.583334
19.284855,50,7.583334
-239.9817,50,7.583334
-22.24202,50,7.990823
83.122696,50,7.990823
-28.061304,50,7.990823
-4.527005,50,7.990823
-128.64075,50,7.990823
15.539089,50,7.990823
11.979849,50,7.990823
51.316334,50,7.990823
59.425156,50,7.990823
14.434618,50,7.990823
-180.45099,50,7.990823
28.396847,50,7.990823
89.38454,50,7.990823
-15.401579,50,7.990823
8.252272,50,7.990823
-77.841995,50,7.990823
19.01754,50,8.250738
-66.02504,50,8.250738
68.016075,50,8.250738
33.42448,50,8.250738
-38.326252,50,8.250738
111.036896,50,8.250738
-15.674199,50,8.250738
25.557283,50,8.250738
85.13611,50,8.250738
89.15455,50,8.250738
132.39641,50,8.250738
-33.823505,50,8.250738
1.2261314,50,8.250738
133.97928,50,8.250738
50.366966,50,8.250738
-17.352085,50,8.250738
13.659859,50,8.505916
-132.83675,50,8.506921
-10.018347,50,8.506921
79.59006,50,8.506921
0.5465801,50,8.506921
-194.41522,50,8.506921
283.98715,50,8.506921
-49.90713,50,8.506921
21.017662,50,8.506921
127.05759,50,8.506921
0.50501347,50,8.506921
133.55779,50,8.506921
54.537895,50,8.506921
-1.3413515,50,8.506921
38.69714,50,8.506921
24.261185,50,8.506921
-137.3085,50,8.760171
41.877438,50,8.760171
-11.255329,50,8.760171
220.05414,50,8.760171
155.22487,50,8.760171
273.0704,50,8.760171
155.4087,50,8.760171
-54.80867,50,8.760171
66.59696,50,8.760171
254.09235,50,8.760171
53.668922,50,8.760171
42.081345,50,8.760171
-0.7858486,50,8.760171
-62.1789,50,8.760171
-31.562899,50,8.760171
22.189919,50,8.760171
-48.090088,50,9.023451
41.381023,50,9.023451
3.3302808,50,9.024447
13.2319355,50,9.024447
7.3942637,50,9.024447
54.30859,50,9.024447
-99.38887,50,9.024447
-13.957566,50,9.024447
1.9777758,50,9.024447
-209.78844,50,9.024447
-381.5717,50,9.024447
-26.559206,50,9.024447
1.0485973,50,9.024447
3.3287954,50,9.024447
-1.6844068,50,9.024447
10.396031,50,9.024447
25.514818,50,9.351442
84.82067,50,9.351442
181.549,50,9.351442
184.72981,50,9.351442
31.323013,50,9.351442
63.879513,50,9.351442
-7.787768,50,9.351442
34.067406,50,9.351442
-81.809296,50,9.351442
46.913513,50,9.351442
58.350334,50,9.351442
19.084854,50,9.351442
-46.628933,50,9.351442
79.39341,50,9.351442
-13.094586,50,9.351442
32.07296,50,9.351442
245.75908,50,9.787286
