#{"t_start": 1770189414.7087045, "env_id": "None"}
r,l,t
3.1238074,50,14.59552
7.8440576,50,14.59552
-9.447856,50,14.59552
-6.1384363,50,14.59552
6.409895,50,14.59552
-4.581441,50,14.59552
4.846588,50,14.918604
2.4480388,50,14.918604
-6.0431614,50,14.918604
12.031876,50,14.918604
4.4776692,50,14.918604
14.331196,50,14.918604
8.758683,50,14.918604
2.4820564,50,14.918604
1.3038131,50,15.270356
3.9589715,50,15.270356
6.52183,50,15.270356
-25.9599,50,15.270356
3.6305766,50,15.270356
-2.6069741,50,15.270356
-4.4117036,50,15.270356
1.5933585,50,15.270356
-6.037857,50,15.629361
-14.09712,50,15.629361
-3.927516,50,15.629361
-10.664147,50,15.629361
6.415534,50,15.629361
17.629732,50,15.629361
0.102533996,50,15.629361
-7.2766886,50,15.629361
5.81012,50,15.963148
4.824171,50,15.963148
-1.3459972,50,15.963148
-11.160686,50,15.963148
-15.169867,50,15.963148
3.1146083,50,15.963148
0.673151,50,15.963148
2.0534534,50,15.963148
5.243553,50,16.492212
4.7083764,50,16.492212
-7.63967,50,16.492212
-0.82857287,50,16.492212
5.467682,50,16.492212
-1.7380179,50,16.492212
4.106624,50,16.492212
2.6223335,50,16.492212
-3.6945124,50,16.847387
6.777567,50,16.847387
-10.071126,50,16.847387
0.9493814,50,16.847387
1.2484974,50,16.847387
-2.857266,50,16.847387
6.4510627,50,16.847387
-4.915874,50,16.847387
-1.4195856,50,17.192119
-2.5332353,50,17.192119
-3.4147007,50,17.192119
8.778625,50,17.192119
1.0605472,50,17.192119
2.8694754,50,17.192119
5.1290956,50,17.192119
-6.0662365,50,17.192119
5.3045735,50,17.559258
2.9722545,50,17.559258
1.9014813,50,17.559258
-18.090302,50,17.559258
0.9707899,50,17.559258
13.231357,50,17.559258
-12.066035,50,17.559258
7.276872,50,17.559258
1.7307159,50,17.95502
10.161899,50,17.95502
-2.9936757,50,17.95502
3.4373364,50,17.95502
-3.015596,50,17.95502
1.2857757,50,17.95502
9.596461,50,17.95502
-4.371332,50,17.95502
-13.168475,50,18.301694
2.508237,50,18.301694
-2.58462,50,18.301694
-1.9628592,50,18.301694
1.7110199,50,18.301694
-7.493689,50,18.301694
-13.24445,50,18.301694
0.8791217,50,18.301694
-2.8051615,50,18.661749
-5.701432,50,18.661749
-1.6513559,50,18.661749
2.075629,50,18.661749
-15.7917,50,18.661749
-0.71532124,50,18.661749
-4.0017138,50,18.661749
4.684272,50,18.661749
-2.2571692,50,19.02395
-8.403213,50,19.02395
5.9598694,50,19.02395
4.0559683,50,19.02395
-0.47863612,50,19.02395
4.978797,50,19.02395
-15.293672,50,19.02395
2.6434958,50,19.02395
-15.8755665,50,19.379314
3.7924232,50,19.379314
9.247997,50,19.379314
4.212369,50,19.379314
4.74402,50,19.379314
3.115649,50,19.379314
-1.5696244,50,19.379314
7.6424093,50,19.379314
-1.8120929,50,19.88466
-4.3627543,50,19.88466
-12.451968,50,19.88466
6.087208,50,19.88466
16.773462,50,19.88466
-2.7479272,50,19.88466
0.38128513,50,19.88466
1.1415857,50,19.88466
2.9732718,50,20.245103
2.403448,50,20.245103
-7.7778053,50,20.245103
2.4941938,50,20.245103
5.9593763,50,20.245103
0.21184278,50,20.245103
2.6897006,50,20.245103
-4.041339,50,20.245103
-0.6338507,50,20.598592
6.3622704,50,20.598592
-3.0143657,50,20.598592
1.0887772,50,20.598592
-2.0037625,50,20.598592
-6.2598205,50,20.598592
2.4099257,50,20.598592
5.1969357,50,20.598592
3.4882178,50,20.947349
3.2838256,50,20.947349
0.85808897,50,20.947349
4.7078342,50,20.947349
-2.7985811,50,20.947349
0.17497249,50,20.947349
-7.6517467,50,20.947349
-7.291691,50,20.947349
2.8890471,50,21.308455
-5.5332737,50,21.308455
-10.097794,50,21.308455
-11.761099,50,21.308455
-3.6972303,50,21.308455
-2.4045002,50,21.308455
-12.102097,50,21.308455
-13.014309,50,21.308455
11.351859,50,21.654497
3.828756,50,21.654497
-12.976076,50,21.654497
-5.9613247,50,21.654497
14.3253975,50,21.654497
-8.016283,50,21.654497
-1.8784305,50,21.654497
-2.2000613,50,21.654497
3.0465844,50,22.045126
-5.5412273,50,22.045126
-17.099113,50,22.045126
5.676079,50,22.045126
0.87616616,50,22.045126
5.6962223,50,22.045126
-11.525425,50,22.045126
-1.3009155,50,22.045126
0.49778885,50,22.385459
-1.808485,50,22.385459
-0.17798269,50,22.385459
-10.14762,50,22.385459
-2.1629488,50,22.385459
-0.7253553,50,22.385459
1.5336084,50,22.385459
-0.43891525,50,22.385459
7.3420157,50,22.751156
0.6339607,50,22.751156
-1.5073599,50,22.751156
4.148797,50,22.751156
7.875114,50,22.751156
-2.3156602,50,22.751156
11.58035,50,22.751156
-5.411901,50,22.751156
1.5078181,50,23.246983
-4.28008,50,23.246983
1.3676198,50,23.246983
-8.730548,50,23.246983
-9.665289,50,23.246983
-2.1629608,50,23.246983
1.9928216,50,23.246983
-9.749008,50,23.246983
-1.1865295,50,23.621006
3.0000706,50,23.621006
4.392687,50,23.621006
-25.441236,50,23.621006
2.1960137,50,23.621006
20.136232,50,23.621006
0.52636063,50,23.621006
0.8336587,50,23.621006
-19.656551,50,23.967442
-9.77016,50,23.967442
-31.277868,50,23.967442
-18.876823,50,23.967442
0.02457045,50,23.967442
3.059268,50,23.967442
-2.1335948,50,23.967442
-22.32258,50,23.967442
-9.55966,50,24.304328
13.120765,50,24.304866
4.415335,50,24.304866
2.7300186,50,24.304866
-7.1987824,50,24.304866
4.7139306,50,24.304866
8.586905,50,24.304866
-10.959473,50,24.304866
4.344048,50,24.647808
5.4165964,50,24.647808
1.9132943,50,24.647808
0.7063866,50,24.647808
1.5458192,50,24.647808
-1.3770597,50,24.647808
5.628153,50,24.647808
5.2654595,50,24.648808
-23.147581,50,24.994001
-1.0389285,50,24.994001
2.1315112,50,24.994001
14.369202,50,24.994001
-0.9071602,50,24.994001
8.957623,50,24.995001
-2.2991483,50,24.995001
-0.47247627,50,24.995001
0.118908286,50,25.3462
-1.5877572,50,25.3462
-23.77441,50,25.3462
2.2873492,50,25.3462
-0.8827454,50,25.3462
-7.1471815,50,25.3462
7.294863,50,25.3462
1.5855881,50,25.3462
-10.194405,50,25.738734
4.9766912,50,25.738734
-1.2713603,50,25.738734
8.576664,50,25.738734
-4.6437764,50,25.738734
0.32348636,50,25.738734
-19.470531,50,25.738734
6.924684,50,25.738734
6.1979218,50,26.093721
13.83695,50,26.093721
-13.148141,50,26.093721
-3.4517164,50,26.093721
-15.749542,50,26.093721
1.0418577,50,26.093721
-1.5497754,50,26.093721
-2.697945,50,26.093721
2.2099953,50,26.580551
3.3961089,50,26.581555
-1.3406154,50,26.581555
-5.884493,50,26.581555
17.37997,50,26.581555
-0.20247984,50,26.581555
-18.387938,50,26.581555
8.365725,50,26.581555
-1.7602719,50,26.929501
2.9071085,50,26.929501
